name,error,coef_pred,p_pred,ci_pred,coef_imd,p_imd,ci_imd,coef_int,p_int,ci_int,intercept_reg_slope,slope_reg_slope
hydro_rain_values,,-0.00870383504028081,6.301066585131432e-32,"(-0.010154493340849037, -0.007253176739712582)",0.04408092792821455,2.4052560048863092e-45,"(0.03796743842212598, 0.050194417434303126)",0.0058780418158053205,1.0946369794888047e-16,"(0.0044890025342237926, 0.0072670810973868485)",-0.029433587083227984,0.014450917620654856
met_rain_values,,-0.009722313767010509,9.261179004375846e-37,"(-0.011226903512882642, -0.008217724021138375)",0.017976784826899617,2.6879509578511205e-11,"(0.012688581095757748, 0.02326498855804149)",0.004585386206588349,1.1682088504040162e-09,"(0.0031083343697686895, 0.006062438043408009)",-0.0080866229847048,0.016968842267472785
met_tmax_values,,0.05644528255389353,4.3860916315064923e-119,"(0.05167704765013264, 0.061213517457654416)",0.015972172741921902,3.6296475361729442e-09,"(0.010666479586575909, 0.021277865897267895)",0.0006486643527944366,0.34880080407185776,"(-0.0007082942498426003, 0.002005622955431474)",-0.008407171083643106,0.016892826834096823
met_tmin_values,,0.04644439740401971,1.1211072223720585e-92,"(0.041986444966649876, 0.05090234984138955)",0.016611334805541514,8.117434065072717e-10,"(0.01131104773588848, 0.021911621875194548)",0.002056618323956881,0.0033727039187472683,"(0.0006816146832196151, 0.0034316219646941468)",-0.00817853384046567,0.01695136901660944
aqrean_carbon_monoxide_values,,0.011603838819405118,2.4946284704628955e-28,"(0.009543474388704473, 0.013664203250105764)",0.005516739219075342,0.11339118263985073,"(-0.0013131424495762259, 0.012346620887726908)",0.0028827103814111337,0.0013327168685803876,"(0.0011219467629004518, 0.004643473999921816)",0.004549198540831688,0.019490009497315688
aqrean_daqi_overall_values,,-0.015343247711888065,1.6708763936971838e-60,"(-0.017176002917069395, -0.013510492506706735)",0.00400743904138892,0.25073377582852563,"(-0.0028310153199791023, 0.010845893402756941)",0.00017011165414496413,0.8229155619634507,"(-0.0013196906449486753, 0.0016599139532386038)",0.00425319278836556,0.019065679204085115
aqrean_nitrogen_monoxide_values,,-0.0063646775122753905,1.350876416001376e-07,"(-0.008730951631095106, -0.003998403393455675)",0.0026077561647941463,0.45481911978612766,"(-0.004230715706002676, 0.009446228035590969)",-0.0013762049066115706,0.13314412419008237,"(-0.003172236178681427, 0.0004198263654582859)",0.004325521029854086,0.019278699614333344
aqrean_nitrogen_dioxide_values,,0.0030878057056980073,0.02928665563814863,"(0.00031116301203053514, 0.0058644483993654795)",0.004085280048686012,0.241815879417276,"(-0.002755621284783393, 0.010926181382155417)",-0.0014635538814333972,0.1673292171483194,"(-0.00354092709423238, 0.0006138193313655856)",0.0041966198527296295,0.018852230889916624
aqrean_daqi_nitrogen_dioxide_values,,-0.01081722495032813,9.13903091080655e-25,"(-0.012880628474315184, -0.008753821426341077)",0.002520400034037628,0.47059958343533526,"(-0.004326262547244192, 0.009367062615319447)",-0.0023432427729774452,0.010739171840173506,"(-0.00414353260947178, -0.0005429529364831107)",0.0039014437087647826,0.018535242289272738
aqrean_nox_expressed_as_nitrogen_dioxide_values,,-0.0063335185038403685,8.109108135277259e-07,"(-0.008850073346646538, -0.0038169636610341988)",0.0025380825406792905,0.46716339341080315,"(-0.0043035290533015615, 0.009379694134660143)",-0.0012301299772446124,0.1967087025987585,"(-0.0030977035757843406, 0.000637443621295116)",0.004323389189794287,0.01928978931200651
aqrean_ozone_values,,-0.001937767494711422,0.11461629048085982,"(-0.004344919230854113, 0.00046938424143126885)",0.003685468193727644,0.2901919234483088,"(-0.003143859835431936, 0.010514796222887224)",0.0012157892180781444,0.10205793637642362,"(-0.00024168165498999745, 0.002673260091146286)",0.004240734875006484,0.01901238003643743
